Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Nacionalitat,Valor
1997,01,05,22,Europa Occidental,34
1997,01,05,22,Àfrica,0
1997,01,05,23,Altres Europa,20100
1997,01,05,23,Amèrica Llatina,24
1997,01,05,23,Amèrica del Nord,0
1997,01,05,23,Europa Occidental,204
1997,01,05,23,Àfrica,0
1997,01,05,23,Àsia,13
1997,01,05,24,Altres Europa,12921
1997,01,05,24,Amèrica Llatina,6
1997,01,05,24,Amèrica del Nord,0
1997,01,05,24,Europa Occidental,128
1997,01,05,24,Oceania,0
1997,01,05,24,Àfrica,0
1997,01,05,24,Àsia,5
1997,01,05,25,Altres Europa,21288
1997,01,05,25,Amèrica Llatina,45
1997,01,05,25,Amèrica del Nord,5
1997,01,05,25,Europa Occidental,176
1997,01,05,25,No consta,0
1997,01,05,25,Oceania,0
1997,01,05,25,Àfrica,7
1997,01,05,25,Àsia,0
1997,01,05,26,Altres Europa,42537
1997,01,05,26,Amèrica Llatina,76
1997,01,05,26,Amèrica del Nord,16
1997,01,05,26,Europa Occidental,344
1997,01,05,26,Oceania,0
1997,01,05,26,Àfrica,6
1997,01,05,26,Àsia,95
1997,01,05,27,Altres Europa,25804
1997,01,05,27,Amèrica Llatina,79
1997,01,05,27,Amèrica del Nord,0
1997,01,05,27,Europa Occidental,197
1997,01,05,27,No consta,0
1997,01,05,27,Oceania,0
1997,01,05,27,Àfrica,5
1997,01,05,27,Àsia,5
1997,01,06,28,Altres Europa,14054
1997,01,06,28,Amèrica Llatina,24
1997,01,06,28,Amèrica del Nord,0
1997,01,06,28,Europa Occidental,61
1997,01,06,28,Oceania,0
1997,01,06,28,Àfrica,0
1997,01,06,28,Àsia,6
1997,01,06,29,Altres Europa,6573
1997,01,06,29,Amèrica Llatina,9
1997,01,06,29,Amèrica del Nord,0
1997,01,06,29,Europa Occidental,7
1997,01,06,29,Oceania,0
1997,01,06,29,Àfrica,0
1997,01,06,29,Àsia,0
1997,01,06,30,Altres Europa,12668
1997,01,06,30,Amèrica Llatina,5
1997,01,06,30,Amèrica del Nord,0
1997,01,06,30,Europa Occidental,14
1997,01,06,30,Àfrica,0
1997,01,06,30,Àsia,5
1997,01,06,31,Altres Europa,46080
1997,01,06,31,Amèrica Llatina,189
1997,01,06,31,Amèrica del Nord,0
1997,01,06,31,Europa Occidental,97
1997,01,06,31,No consta,0
1997,01,06,31,Oceania,0
1997,01,06,31,Àfrica,0
1997,01,06,31,Àsia,23
1997,01,06,32,Altres Europa,33273
1997,01,06,32,Amèrica Llatina,72
1997,01,06,32,Amèrica del Nord,0
1997,01,06,32,Europa Occidental,24
1997,01,06,32,No consta,0
1997,01,06,32,Oceania,0
1997,01,06,32,Àfrica,0
1997,01,06,32,Àsia,5
1997,01,07,33,Altres Europa,24735
1997,01,07,33,Amèrica Llatina,82
1997,01,07,33,Amèrica del Nord,0
1997,01,07,33,Europa Occidental,5
1997,01,07,33,Àfrica,0
1997,01,07,33,Àsia,11
1997,01,07,34,Altres Europa,8779
1997,01,07,34,Amèrica Llatina,0
1997,01,07,34,Amèrica del Nord,0
1997,01,07,34,Europa Occidental,0
1997,01,07,34,Oceania,0
1997,01,07,34,Àfrica,0
1997,01,07,34,Àsia,0
1997,01,07,35,Altres Europa,34210
1997,01,07,35,Amèrica Llatina,61
1997,01,07,35,Amèrica del Nord,0
1997,01,07,35,Europa Occidental,5
1997,01,07,35,No consta,0
1997,01,07,35,Oceania,0
1997,01,07,35,Àfrica,21
1997,01,07,35,Àsia,6
1997,01,07,36,Altres Europa,9774
1997,01,07,36,Amèrica Llatina,0
1997,01,07,36,Amèrica del Nord,0
1997,01,07,36,Europa Occidental,0
1997,01,07,37,Altres Europa,33609
1997,01,07,37,Amèrica Llatina,34
1997,01,07,37,Amèrica del Nord,0
1997,01,07,37,Europa Occidental,0
1997,01,07,37,Àfrica,7
1997,01,07,37,Àsia,0
1997,01,07,38,Altres Europa,11228
1997,01,07,38,Amèrica Llatina,15
1997,01,07,38,Amèrica del Nord,0
1997,01,07,38,Europa Occidental,0
1997,01,07,38,Àfrica,0
1997,01,07,38,Àsia,0
1997,01,07,39,Altres Europa,7115
1997,01,07,39,Amèrica Llatina,31
1997,01,07,39,Amèrica del Nord,0
1997,01,07,39,Europa Occidental,6
1997,01,07,39,Àfrica,0
1997,01,07,39,Àsia,0
1997,01,07,40,Altres Europa,5251
1997,01,07,40,Amèrica Llatina,0
1997,01,07,40,Amèrica del Nord,0
1997,01,07,40,Europa Occidental,0
1997,01,07,40,Àfrica,0
1997,01,07,40,Àsia,0
1997,01,07,41,Altres Europa,5375
1997,01,07,41,Amèrica Llatina,36
1997,01,07,41,Amèrica del Nord,0
1997,01,07,41,Europa Occidental,11
1997,01,07,41,Àsia,0
1997,01,07,42,Altres Europa,443
1997,01,07,42,Amèrica Llatina,0
1997,01,07,42,Àfrica,0
1997,01,07,43,Altres Europa,26352
1997,01,07,43,Amèrica Llatina,10
1997,01,07,43,Amèrica del Nord,0
1997,01,07,43,Europa Occidental,0
1997,01,07,43,Oceania,0
1997,01,07,43,Àfrica,0
1997,01,07,43,Àsia,0
1997,01,08,44,Altres Europa,24687
1997,01,08,44,Amèrica Llatina,37
1997,01,08,44,Amèrica del Nord,0
1997,01,08,44,Europa Occidental,0
1997,01,08,44,Àfrica,0
1997,01,08,44,Àsia,0
1997,01,08,45,Altres Europa,23975
1997,01,08,45,Amèrica Llatina,41
1997,01,08,45,Amèrica del Nord,0
1997,01,08,45,Europa Occidental,0
1997,01,08,45,Oceania,0
1997,01,08,45,Àfrica,7
1997,01,08,45,Àsia,0
1997,01,08,46,Altres Europa,14723
1997,01,08,46,Amèrica Llatina,56
1997,01,08,46,Amèrica del Nord,0
1997,01,08,46,Europa Occidental,0
1997,01,08,46,Àfrica,0
1997,01,08,47,Altres Europa,2262
1997,01,08,47,Amèrica Llatina,5
1997,01,08,47,Amèrica del Nord,0
1997,01,08,47,Àfrica,0
1997,01,08,47,Àsia,0
1997,01,08,48,Altres Europa,17084
1997,01,08,48,Amèrica Llatina,6
1997,01,08,48,Europa Occidental,0
1997,01,08,48,No consta,0
1997,01,08,48,Àfrica,0
1997,01,08,48,Àsia,0
1997,01,08,49,Altres Europa,8725
1997,01,08,49,Amèrica Llatina,0
1997,01,08,49,Europa Occidental,0
1997,01,08,49,Àfrica,0
1997,01,08,50,Altres Europa,15514
1997,01,08,50,Amèrica Llatina,27
1997,01,08,50,Amèrica del Nord,0
1997,01,08,50,Europa Occidental,5
1997,01,08,50,Àfrica,0
1997,01,08,50,Àsia,0
1997,01,08,51,Altres Europa,12810
1997,01,08,51,Amèrica Llatina,11
1997,01,08,51,Europa Occidental,0
1997,01,08,51,Àfrica,6
1997,01,08,51,Àsia,0
1997,01,08,52,Altres Europa,27767
1997,01,08,52,Amèrica Llatina,6
1997,01,08,52,Europa Occidental,10
1997,01,08,52,Àfrica,0
1997,01,08,52,Àsia,0
1997,01,08,53,Altres Europa,7569
1997,01,08,53,Amèrica Llatina,0
1997,01,08,53,Europa Occidental,0
1997,01,08,53,Àfrica,0
1997,01,08,53,Àsia,0
1997,01,08,54,Altres Europa,2354
1997,01,08,54,Amèrica Llatina,0
1997,01,08,54,Àfrica,0
1997,01,08,54,Àsia,0
1997,01,08,55,Altres Europa,9801
1997,01,08,55,Amèrica Llatina,0
1997,01,08,55,Europa Occidental,0
1997,01,08,55,No consta,0
1997,01,08,55,Àfrica,0
1997,01,08,55,Àsia,0
1997,01,08,56,Altres Europa,714
1997,01,08,56,Europa Occidental,0
1997,01,08,56,No consta,0
1997,01,08,56,Àfrica,0
1997,01,09,57,Altres Europa,7634
1997,01,09,57,Amèrica Llatina,22
1997,01,09,57,Amèrica del Nord,0
1997,01,09,57,Europa Occidental,0
1997,01,09,57,Àfrica,101
1997,01,09,57,Àsia,0
1997,01,09,58,Altres Europa,2291
1997,01,09,58,Amèrica del Nord,0
1997,01,09,58,Àfrica,0
1997,01,09,59,Altres Europa,10030
1997,01,09,59,Amèrica Llatina,0
1997,01,09,59,Europa Occidental,0
1997,01,09,59,Àfrica,0
1997,01,09,60,Altres Europa,51374
1997,01,09,60,Amèrica Llatina,67
1997,01,09,60,Amèrica del Nord,0
1997,01,09,60,Europa Occidental,0
1997,01,09,60,No consta,0
1997,01,09,60,Àfrica,12
1997,01,09,60,Àsia,5
1997,01,09,61,Altres Europa,27667
1997,01,09,61,Amèrica Llatina,149
1997,01,09,61,Amèrica del Nord,0
1997,01,09,61,Europa Occidental,5
1997,01,09,61,No consta,0
1997,01,09,61,Oceania,0
1997,01,09,61,Àfrica,0
1997,01,09,61,Àsia,22
1997,01,09,62,Altres Europa,13620
1997,01,09,62,Amèrica Llatina,5
1997,01,09,62,Amèrica del Nord,0
1997,01,09,62,Europa Occidental,0
1997,01,09,62,Àfrica,0
1997,01,09,62,Àsia,0
1997,01,09,63,Altres Europa,20791
1997,01,09,63,Amèrica Llatina,58
1997,01,09,63,Amèrica del Nord,0
1997,01,09,63,Europa Occidental,0
1997,01,09,63,No consta,0
1997,01,09,63,Àfrica,0
1997,01,09,63,Àsia,0
1997,01,10,64,Altres Europa,36016
1997,01,10,64,Amèrica Llatina,168
1997,01,10,64,Amèrica del Nord,0
1997,01,10,64,Europa Occidental,6
1997,01,10,64,No consta,0
1997,01,10,64,Oceania,0
1997,01,10,64,Àfrica,27
1997,01,10,64,Àsia,9
1997,01,10,65,Altres Europa,22711
1997,01,10,65,Amèrica Llatina,94
1997,01,10,65,Amèrica del Nord,0
1997,01,10,65,Europa Occidental,0
1997,01,10,65,Àfrica,5
1997,01,10,65,Àsia,0
1997,01,10,66,Altres Europa,12077
1997,01,10,66,Amèrica Llatina,101
1997,01,10,66,Amèrica del Nord,0
1997,01,10,66,Europa Occidental,5
1997,01,10,66,Oceania,0
1997,01,10,66,Àfrica,22
1997,01,10,66,Àsia,5
1997,01,10,67,Altres Europa,5792
1997,01,10,67,Amèrica Llatina,40
1997,01,10,67,Amèrica del Nord,5
1997,01,10,67,Europa Occidental,66
1997,01,10,67,No consta,5
1997,01,10,67,Àfrica,0
1997,01,10,67,Àsia,23
1997,01,10,68,Altres Europa,23594
1997,01,10,68,Amèrica Llatina,18
1997,01,10,68,Amèrica del Nord,0
1997,01,10,68,Europa Occidental,0
1997,01,10,68,Oceania,0
1997,01,10,68,Àfrica,38
1997,01,10,68,Àsia,6
1997,01,10,69,Altres Europa,4116
1997,01,10,69,Amèrica Llatina,0
1997,01,10,69,Europa Occidental,0
1997,01,10,69,Àfrica,7
1997,01,10,69,Àsia,0
1997,01,10,70,Altres Europa,21411
1997,01,10,70,Amèrica Llatina,23
1997,01,10,70,Amèrica del Nord,0
1997,01,10,70,Europa Occidental,0
1997,01,10,70,Oceania,0
1997,01,10,70,Àfrica,11
1997,01,10,70,Àsia,0
1997,01,10,71,Altres Europa,16719
1997,01,10,71,Amèrica Llatina,18
1997,01,10,71,Europa Occidental,0
1997,01,10,71,Àfrica,30
1997,01,10,71,Àsia,5
1997,01,10,72,Altres Europa,27227
1997,01,10,72,Amèrica Llatina,0
1997,01,10,72,Amèrica del Nord,0
1997,01,10,72,Europa Occidental,0
1997,01,10,72,Àfrica,0
1997,01,10,72,Àsia,14
1997,01,10,73,Altres Europa,31992
1997,01,10,73,Amèrica Llatina,25
1997,01,10,73,Amèrica del Nord,0
1997,01,10,73,Europa Occidental,0
1997,01,10,73,Àfrica,0
1997,01,10,73,Àsia,0
1998,01,01,01,Altres Europa,31453
1998,01,01,01,Amèrica Llatina,588
1998,01,01,01,Amèrica del Nord,0
1998,01,01,01,Europa Occidental,65
1998,01,01,01,No consta,0
1998,01,01,01,Oceania,0
1998,01,01,01,Àfrica,982
1998,01,01,01,Àsia,1659
1998,01,01,02,Altres Europa,13095
1998,01,01,02,Amèrica Llatina,192
1998,01,01,02,Amèrica del Nord,12
1998,01,01,02,Europa Occidental,104
1998,01,01,02,No consta,0
1998,01,01,02,Oceania,0
1998,01,01,02,Àfrica,258
1998,01,01,02,Àsia,228
1998,01,01,03,Altres Europa,14442
1998,01,01,03,Amèrica Llatina,89
1998,01,01,03,Amèrica del Nord,0
1998,01,01,03,Europa Occidental,0
1998,01,01,03,Àfrica,192
1998,01,01,03,Àsia,13
1998,01,01,04,Altres Europa,18532
1998,01,01,04,Amèrica Llatina,403
1998,01,01,04,Amèrica del Nord,5
1998,01,01,04,Europa Occidental,97
1998,01,01,04,Oceania,0
1998,01,01,04,Àfrica,610
1998,01,01,04,Àsia,216
1998,01,02,05,Altres Europa,27676
1998,01,02,05,Amèrica Llatina,227
1998,01,02,05,Amèrica del Nord,0
1998,01,02,05,Europa Occidental,27
1998,01,02,05,No consta,5
1998,01,02,05,Oceania,0
1998,01,02,05,Àfrica,22
1998,01,02,05,Àsia,0
1998,01,02,06,Altres Europa,48070
1998,01,02,06,Amèrica Llatina,312
1998,01,02,06,Amèrica del Nord,0
1998,01,02,06,Europa Occidental,32
1998,01,02,06,No consta,0
1998,01,02,06,Oceania,0
1998,01,02,06,Àfrica,36
1998,01,02,06,Àsia,24
1998,01,02,07,Altres Europa,38633
1998,01,02,07,Amèrica Llatina,194
1998,01,02,07,Amèrica del Nord,0
1998,01,02,07,Europa Occidental,125
1998,01,02,07,No consta,0
1998,01,02,07,Oceania,0
1998,01,02,07,Àfrica,9
1998,01,02,07,Àsia,21
1998,01,02,08,Altres Europa,38517
1998,01,02,08,Amèrica Llatina,317
1998,01,02,08,Amèrica del Nord,0
1998,01,02,08,Europa Occidental,117
1998,01,02,08,No consta,0
1998,01,02,08,Àfrica,7
1998,01,02,08,Àsia,156
1998,01,02,09,Altres Europa,54050
1998,01,02,09,Amèrica Llatina,401
1998,01,02,09,Amèrica del Nord,5
1998,01,02,09,Europa Occidental,50
1998,01,02,09,No consta,0
1998,01,02,09,Oceania,0
1998,01,02,09,Àfrica,12
1998,01,02,09,Àsia,96
1998,01,02,10,Altres Europa,35540
1998,01,02,10,Amèrica Llatina,265
1998,01,02,10,Amèrica del Nord,0
1998,01,02,10,Europa Occidental,15
1998,01,02,10,No consta,0
1998,01,02,10,Àfrica,39
1998,01,02,10,Àsia,55
1998,01,03,11,Altres Europa,33214
1998,01,03,11,Amèrica Llatina,250
1998,01,03,11,Amèrica del Nord,0
1998,01,03,11,Europa Occidental,5
1998,01,03,11,No consta,0
1998,01,03,11,Oceania,0
1998,01,03,11,Àfrica,241
1998,01,03,11,Àsia,41
1998,01,03,12,Altres Europa,1756
1998,01,03,12,Àfrica,0
1998,01,03,13,Altres Europa,27129
1998,01,03,13,Amèrica Llatina,75
1998,01,03,13,Amèrica del Nord,0
1998,01,03,13,Europa Occidental,0
1998,01,03,13,No consta,0
1998,01,03,13,Àfrica,24
1998,01,03,13,Àsia,0
1998,01,03,14,Altres Europa,9120
1998,01,03,14,Amèrica Llatina,49
1998,01,03,14,Amèrica del Nord,0
1998,01,03,14,Europa Occidental,0
1998,01,03,14,No consta,0
1998,01,03,14,Oceania,0
1998,01,03,14,Àfrica,0
1998,01,03,14,Àsia,7
1998,01,03,15,Altres Europa,14407
1998,01,03,15,Amèrica Llatina,147
1998,01,03,15,Amèrica del Nord,0
1998,01,03,15,Europa Occidental,11
