Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Domicili,Valor
1997,01,02,08,Dues persones de 65 anys i més,1676
1997,01,02,08,Dues persones o més totes majors de 18 anys,3542
1997,01,02,08,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,62
1997,01,02,08,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,303
1997,01,02,08,Dues persones: una de 18-64 anys i l'altra de 65 i més,1151
1997,01,02,08,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1968
1997,01,02,08,Un home de 18 a 64 anys,853
1997,01,02,08,Un home de 65 anys i més,397
1997,01,02,08,Una dona de 18 a 64 anys,1188
1997,01,02,08,Una dona de 65 anys i més,2402
1997,01,02,09,Altres domicilis amb una o més persones menors de 18 anys,1610
1997,01,02,09,Dues persones de 18 a 64 anys,2331
1997,01,02,09,Dues persones de 65 anys i més,2044
1997,01,02,09,Dues persones o més totes majors de 18 anys,4735
1997,01,02,09,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,82
1997,01,02,09,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,450
1997,01,02,09,Dues persones: una de 18-64 anys i l'altra de 65 i més,1337
1997,01,02,09,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,3462
1997,01,02,09,Un home de 18 a 64 anys,1037
1997,01,02,09,Un home de 65 anys i més,483
1997,01,02,09,Una dona de 18 a 64 anys,1477
1997,01,02,09,Una dona de 65 anys i més,2443
1997,01,02,10,Altres domicilis amb una o més persones menors de 18 anys,969
1997,01,02,10,Dues persones de 18 a 64 anys,1587
1997,01,02,10,Dues persones de 65 anys i més,1630
1997,01,02,10,Dues persones o més totes majors de 18 anys,3307
1997,01,02,10,Dues persones o més: un home de 18 anys i més amb altres menors de 18 anys,47
1997,01,02,10,Dues persones o més: una dona de 18 anys i més amb altres menors de 18 anys,219
1997,01,02,10,Dues persones: una de 18-64 anys i l'altra de 65 i més,1074
1997,01,02,10,Tres persones o més: dues de 18 anys i més i la resta menors de 18 anys,1856
