Data_Referencia,Codi_Barri,Pobl_Jove,Perc_Jove,Pobl_Regio,Perc_Regio,Pobl_Superior,Perc_Superior,Pobl_Host,Perc_Host,Renda_Mitjana,Habitatges,Preu_Lloguer
2015,01,18563,0.39692518228665513,14824,0.3165965444332913,8727,0.21358296622613804,6231,0.37690539559641906,8318.404687065666,180,11.1045
2015,02,6633,0.4354648109243697,2626,0.17081896832108243,5178,0.3667398540973157,2986,0.4653264765466729,11302.969537815126,184,11.2094
2015,03,5602,0.38090705106411915,1288,0.08700351256417184,3230,0.23722091656874267,2792,0.4136909171729145,10880.002379819134,69,16.3294
2015,04,9061,0.40916685482050125,3085,0.13864545413689272,7275,0.36176031824962707,4531,0.4603739077423288,11529.153127116731,171,12.6979
2015,05,9327,0.2995375425525082,2199,0.0707233139291802,9911,0.3587822183608456,3785,0.299375148303409,15508.956612499198,343,10.8908
2015,06,14880,0.2949922683478054,2368,0.04704573449358287,15295,0.33734009704455226,6788,0.3142738089726376,15356.800186352642,794,11.1051
2015,07,12554,0.29256583546958753,2984,0.06960091432836517,18334,0.48363185523226676,6244,0.34125812974804615,19691.545863435098,1747,11.2916
2015,08,12639,0.3069953849890697,2523,0.06134805232699509,16315,0.44383688348431677,6130,0.34114307974845565,18157.068909400048,727,11.3658
2015,09,16905,0.2978382282985958,2843,0.050129599915363324,19914,0.38979036583217525,7520,0.30884225224855233,16986.36390704558,428,11.2679
2015,10,11303,0.30046786113030993,3015,0.0802886663826161,11157,0.3298935541099941,5186,0.32032118591723285,15115.645409112658,568,10.9577
2015,11,13409,0.3376646269295661,5507,0.138318179534837,8085,0.22940725817892915,5461,0.3454361439686255,10923.800483493238,546,11.0933
2015,12,331,0.30200729927007297,20,0.01824817518248175,50,0.05107252298263534,135,0.3082191780821918,9003,3,6.6071
2015,13,7666,0.25652523089278545,1168,0.03913160010720986,3491,0.13588945114830672,2972,0.25704895346825807,11527.850421630304,6,8.3625
2015,14,3059,0.2994615761135585,594,0.05794556628621598,2524,0.27590730214254483,1367,0.3205909943714822,13913.460401370534,74,11.3287
2015,15,5080,0.32725632931778653,1147,0.07367677286742035,3742,0.26835915088927137,2265,0.3472328683121263,13255.131417896026,187,11.1196
2015,16,4922,0.2719036570544691,559,0.03094038855371672,3419,0.2121625814458579,2149,0.2904839145715058,13356.385150812064,42,9.8429
2015,17,6875,0.28957122399123914,976,0.04124931321584041,4857,0.22890941653313224,3002,0.30332423966858646,13390.053955016427,90,10.7392
2015,18,11960,0.29823948930227917,1778,0.0444177970971046,10467,0.2925867948789624,5473,0.3217140841758758,14585.472320582514,189,10.992
2015,19,11719,0.25964904506580405,1296,0.028748890860692104,16139,0.4017374853757499,4987,0.266770086658821,19275.431515044093,171,11.8488
2015,20,6193,0.26299473416001357,438,0.018737967914438502,7505,0.360990860990861,2271,0.23830010493179432,17477.57350942755,36,11.4229
2015,21,2591,0.22301600964021345,754,0.06524184476940383,4921,0.503015434938158,750,0.1820388349514563,26103.781115510414,8,14.1453
2015,22,1022,0.22520934332304982,210,0.04614370468029005,1492,0.40809628008752735,412,0.26788036410923277,17528.897091229617,3,12.1003
2015,23,5603,0.23021612293532748,1209,0.04981048121292024,9743,0.48979489241906293,2062,0.23509291984950403,22733.280138055714,23,14.5361
2015,24,3812,0.23416671785736223,784,0.04824318503476709,6827,0.5095536647260785,1117,0.2034237843744309,26870.61496406413,31,13.9673
2015,25,5871,0.23460539460539462,776,0.031118418414404297,9979,0.47453516572352467,2150,0.23397540537599304,23173.814025974025,26,12.8241
2015,26,11037,0.2391860263522885,1619,0.03526848927132121,19486,0.49685101608914045,4688,0.2545612510860122,23918.893247226075,271,12.7318
2015,27,7716,0.26915027208036835,902,0.031621384750219104,11670,0.4740818979525512,3668,0.3071512309495897,19500.65020231617,158,12.3254
2015,28,3968,0.25987294518305065,417,0.027319182389937108,4998,0.3770083729350532,1859,0.2901966906025601,17888.176763376778,35,11.5532
2015,29,2046,0.28228476821192056,193,0.02662436198096289,1766,0.2803619622162248,963,0.3178217821782178,13669.084850993377,13,9.8996
2015,30,3582,0.27596302003081663,278,0.021537031298419586,4382,0.381142906845264,1490,0.27731248836776473,16969.26278890601,35,11.2769
2015,31,17049,0.34388930350767494,2800,0.05642317380352645,18264,0.4121217591443464,9248,0.40797600141168167,15318.751840571233,768,12.305
2015,32,9319,0.27972384811646406,1104,0.033147180688164295,11242,0.37809840917499077,4589,0.31315681725126243,16768.614527990394,230,11.3303
2015,33,6840,0.27296671721605875,659,0.02636632791870049,6584,0.2932216976930614,3158,0.29472701819878677,14810.381355255806,87,10.5654
2015,34,2287,0.26372232472324725,252,0.029109391244079935,1886,0.24563688460536598,1090,0.29443544030253915,13548.523639298894,13,10.0925
2015,35,9503,0.26899343297101447,731,0.020800728452323364,8430,0.27135775445825017,4395,0.29455130353193487,14313.861865942028,54,10.3596
2015,36,2032,0.21965192952113285,51,0.0055284552845528455,2331,0.2933551472438963,861,0.23537452159650082,16713.214571397686,2,11.373
2015,37,8355,0.2690561298425273,564,0.018228829993535877,3015,0.11146850044365572,3242,0.2582649565840835,10429.473062184008,26,9.1085
2015,38,2976,0.26512249443207125,211,0.018923766816143498,1436,0.14572762330018266,1322,0.2845458458889367,11639.278307349667,9,9.509
2015,39,1511,0.227183882122989,54,0.008214177061149984,1022,0.17398706162751107,666,0.24404543788933675,12710.02766501278,3,8.3222
2015,40,1020,0.20735921935352714,39,0.00790433725172274,971,0.219385449615906,512,0.24369347929557353,13830.374669648303,NA,10.0705
