Data_Referencia,Codi_Districte,Codi_Barri,Poblacio,Import_Total,Renda_Mitjana
2022,05,24,15893,531132757,33419.28880639275
2022,05,25,25306,732154992,28932.071129376433
2022,05,26,46605,1363565413,29257.921102885957
2022,05,27,29401,700910257,23839.674058705485
2022,06,28,15870,337134068,21243.48254568368
2022,06,29,7507,127176842,16941.10057279872
2022,06,30,13138,270982636,20625.86664636931
2022,06,31,48835,956252630,19581.296815808335
2022,06,32,34385,703853344,20469.778798894866
2022,07,33,25144,450924526,17933.683025771556
2022,07,34,9116,149989805,16453.466981132075
2022,07,35,36485,629629325,17257.21049746471
2022,07,36,9381,195019130,20788.73574245816
2022,07,37,31745,407710352,12843.293495038588
2022,07,38,11772,165365831,14047.386255521576
2022,07,39,7198,105252740,14622.497916087803
2022,07,40,4908,80092988,16318.864710676447
2022,07,41,5768,110000258,19070.779819694868
2022,07,42,581,9332603,16063
2022,07,43,27434,463339680,16889.249835969964
2022,08,44,25274,403040879,15946.857600696369
2022,08,45,27083,390312644,14411.72115349112
2022,08,46,15864,191400784,12065.102370146244
2022,08,47,2118,24754845,11687.839943342777
2022,08,48,14835,240184695,16190.40748230536
2022,08,49,6684,102575041,15346.355625374028
2022,08,50,15952,174634837,10947.519872116349
2022,08,51,12421,147961945,11912.240962885437
2022,08,52,25978,345320595,13292.80910770652
2022,08,53,7311,79054860,10813.13910545753
2022,08,54,2847,28704429,10082.342465753425
2022,08,55,10704,99161004,9263.920403587445
2022,08,56,1392,14561712,10461
2022,09,57,10278,106280848,10340.615683985212
2022,09,58,2533,27259166,10761.613106987761
2022,09,59,13420,173650545,12939.682935916542
2022,09,60,56764,1000126519,17619.028239729407
2022,09,61,28948,473373751,16352.554615172032
2022,09,62,14193,232885537,16408.47861621926
2022,09,63,21745,368906878,16965.13580133364
2022,10,64,37689,666277105,17678.2908806283
2022,10,65,25942,450933969,17382.390293732173
2022,10,66,15781,288994582,18312.818072365502
2022,10,67,9247,239932659,25947.08110738618
2022,10,68,33570,633865524,18881.90420017873
2022,10,69,13195,272043510,20617.16635089049
2022,10,70,26090,298424250,11438.261786124953
2022,10,71,20784,340817988,16398.094110854505
2022,10,72,25508,396221213,15533.213619256703
2022,10,73,28297,400983646,14170.53560448104
2023,01,01,45067,491008923,10895.087824794195
2023,01,02,24118,307309083,12741.89746247616
2023,01,03,13757,194415329,14132.102129824816
2023,01,04,21628,332641517,15380.133022008507
2023,02,05,33944,653695919,19258.06973250059
2023,02,06,50893,945448080,18577.17328512762
2023,02,07,43412,1031607613,23763.19020086612
2023,02,08,42118,948941740,22530.550833372905
2023,02,09,56558,1172623092,20733.107464903285
2023,02,10,37776,707055097,18717.045134476917
2023,03,11,38168,544475107,14265.224979040033
2023,03,12,1655,20735495,12529
2023,03,13,30103,431059521,14319.487127528817
2023,03,14,10346,179409744,17340.97660931761
2023,03,15,15711,259047370,16488.280185857042
2023,03,16,19433,327132918,16833.88658467555
2023,03,17,24022,387114437,16114.99612854883
2023,03,18,43810,786590106,17954.57900022826
2023,04,19,45133,1053504475,23342.221323643455
2023,04,20,23767,495967023,20867.885008625406
2023,04,21,12014,373828205,31116.04836024638
2023,05,22,4751,111138248,23392.60113660282
2023,05,23,24560,703124547,28628.84963355049
2023,05,24,16074,536689199,33388.65242005724
2023,05,25,25783,744487127,28875.11643330877
2023,05,26,47100,1377144410,29238.73481953291
2023,05,27,29595,706302260,23865.594188207466
2023,06,28,16107,341911270,21227.495498851433
2023,06,29,7633,129290005,16938.294903707585
2023,06,30,13291,273840215,20603.4320216688
2023,06,31,49015,959902133,19583.84439457309
2023,06,32,34662,709028862,20455.50926086204
2023,07,33,25265,452927237,17927.062616267565
2023,07,34,9266,152474008,16455.213468594862
2023,07,35,37090,639885137,17252.228012941494
2023,07,36,9567,198934324,20793.8041183234
2023,07,37,32072,411793538,12839.658830132203
2023,07,38,11955,167923316,14046.283228774571
2023,07,39,7324,107120968,14626.01966138722
2023,07,40,5084,83007534,16327.209677419354
2023,07,41,5769,110077994,19080.948864621252
2023,07,42,616,9894808,16063
2023,07,43,28931,489798675,16929.890947426637
2023,08,44,25517,406705799,15938.621272093114
