Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,Educacio,Valor
1997,01,03,16,"Batxillerat elemental, graduat escolar, ESO, FPI",2991
1997,01,03,16,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3131
1997,01,03,16,"Estudis primaris, certificat d'escolaritat, EGB",4338
1997,01,03,16,"Estudis universitaris, CFGS grau superior",1561
1997,01,03,16,No consta,474
1997,01,03,16,Sense estudis,2209
1997,01,03,17,"Batxillerat elemental, graduat escolar, ESO, FPI",3946
1997,01,03,17,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3981
1997,01,03,17,"Estudis primaris, certificat d'escolaritat, EGB",5923
1997,01,03,17,"Estudis universitaris, CFGS grau superior",2303
1997,01,03,17,No consta,588
1997,01,03,17,Sense estudis,3652
1997,01,03,18,"Batxillerat elemental, graduat escolar, ESO, FPI",6241
1997,01,03,18,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",7015
1997,01,03,18,"Estudis primaris, certificat d'escolaritat, EGB",9136
1997,01,03,18,"Estudis universitaris, CFGS grau superior",4966
1997,01,03,18,No consta,790
1997,01,03,18,Sense estudis,5572
1997,01,04,19,"Batxillerat elemental, graduat escolar, ESO, FPI",6379
1997,01,04,19,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",10248
1997,01,04,19,"Estudis primaris, certificat d'escolaritat, EGB",7641
1997,01,04,19,"Estudis universitaris, CFGS grau superior",10453
1997,01,04,19,No consta,1119
1997,01,04,19,Sense estudis,3484
1997,01,04,20,"Batxillerat elemental, graduat escolar, ESO, FPI",3273
1997,01,04,20,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",5255
1997,01,04,20,"Estudis primaris, certificat d'escolaritat, EGB",4706
1997,01,04,20,"Estudis universitaris, CFGS grau superior",4844
1997,01,04,20,No consta,656
1997,01,04,20,Sense estudis,2176
1997,01,04,21,"Batxillerat elemental, graduat escolar, ESO, FPI",1135
1997,01,04,21,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",2816
1997,01,04,21,"Estudis primaris, certificat d'escolaritat, EGB",1078
1997,01,04,21,"Estudis universitaris, CFGS grau superior",3728
1997,01,04,21,No consta,284
1997,01,04,21,Sense estudis,384
1997,01,05,22,"Batxillerat elemental, graduat escolar, ESO, FPI",339
1997,01,05,22,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",561
1997,01,05,22,"Estudis primaris, certificat d'escolaritat, EGB",483
1997,01,05,22,"Estudis universitaris, CFGS grau superior",640
1997,01,05,22,No consta,88
1997,01,05,22,Sense estudis,375
1997,01,05,23,"Batxillerat elemental, graduat escolar, ESO, FPI",2414
1997,01,05,23,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",4637
1997,01,05,23,"Estudis primaris, certificat d'escolaritat, EGB",2606
1997,01,05,23,"Estudis universitaris, CFGS grau superior",6196
1997,01,05,23,No consta,491
1997,01,05,23,Sense estudis,1275
1997,01,05,24,"Batxillerat elemental, graduat escolar, ESO, FPI",1213
1997,01,05,24,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",3337
1997,01,05,24,"Estudis primaris, certificat d'escolaritat, EGB",1274
1997,01,05,24,"Estudis universitaris, CFGS grau superior",4703
1997,01,05,24,No consta,290
1997,01,05,24,Sense estudis,447
1997,01,05,25,"Batxillerat elemental, graduat escolar, ESO, FPI",2252
1997,01,05,25,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",5549
1997,01,05,25,"Estudis primaris, certificat d'escolaritat, EGB",2360
1997,01,05,25,"Estudis universitaris, CFGS grau superior",7058
1997,01,05,25,No consta,537
1997,01,05,25,Sense estudis,1080
1997,01,05,26,"Batxillerat elemental, graduat escolar, ESO, FPI",4493
1997,01,05,26,"Batxillerat superior, BUP, COU, FPII, CFGM grau mitjà",11409
1997,01,05,26,"Estudis primaris, certificat d'escolaritat, EGB",4869
