Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_REGIO,SEXE
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,3,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,3,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,24,6,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,7,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,7,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,8,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,8,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,11,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,11,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,12,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,12,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,13,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,13,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,15,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,16,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,16,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,536,17,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,540,17,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,18,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,18,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,23,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,3,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,3,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,6,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,6,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,8,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,8,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,11,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,11,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,12,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,55,12,2
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,32,13,1
1999-01-01,1,Ciutat Vella,1,el Raval,1,1002,24,13,2
