Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_REGIO,SEXE
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,2,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,2,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,24,3,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,45,3,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,19,6,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,6,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,7,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,7,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,36,8,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,33,8,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,9,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,11,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,11,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,12,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,104,12,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,14,13,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,13,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,14,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,14,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,15,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,19,15,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,16,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,16,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,420,17,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,473,17,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,18,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,18,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,23,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,2,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,10,3,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,29,3,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,7,6,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,6,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,7,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,95,8,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,102,8,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,9,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,9,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,11,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,11,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,32,12,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,244,12,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,37,13,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,32,13,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,14,1
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,14,2
2005-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,15,1
