Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_REGIO,SEXE
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,7,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,7,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,8,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,23,8,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,11,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,11,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,66,12,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,179,12,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,26,13,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,13,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,14,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,14,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,15,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,15,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,16,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,16,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,374,17,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,431,17,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,19,18,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,18,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,3,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,24,3,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,6,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,6,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,7,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,5,7,2
