Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_REGIO,SEXE
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,2,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,2,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,24,3,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,49,3,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,6,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,6,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,7,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,7,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,41,8,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,8,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,10,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,11,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,11,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,40,12,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,139,12,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,13,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,13,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,14,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,14,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,15,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,15,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,16,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,16,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,393,17,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,453,17,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,18,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,18,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,2,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,8,3,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,30,3,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,6,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,6,2
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,7,1
2006-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,7,2
