Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_REGIO,SEXE
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,1,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,2,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,19,3,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,34,3,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,14,6,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,6,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,7,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,7,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,44,8,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,28,8,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,11,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,11,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,62,12,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,212,12,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,13,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,13,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,15,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,15,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,16,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,23,16,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,385,17,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,401,17,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,23,18,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,18,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,23,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,23,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,2,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,2,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,3,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,36,3,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,5,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,6,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,6,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,7,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,7,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,55,8,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,58,8,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,9,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,9,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,11,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,19,11,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,34,12,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,170,12,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,36,13,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,27,13,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,14,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,14,14,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,11,15,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,15,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,16,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,13,16,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,497,17,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,426,17,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,34,18,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,31,18,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,1,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,77,3,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,117,3,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,4,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,5,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,5,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,14,6,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,13,6,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,16,7,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,9,7,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,155,8,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,137,8,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,9,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,20,11,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,28,11,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,153,12,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,475,12,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,75,13,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,72,13,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,14,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,14,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,40,15,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,31,15,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,9,16,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,7,16,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,934,17,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,844,17,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,21,18,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,34,18,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,71,3,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,127,3,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,5,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,9,5,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,20,6,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,16,6,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,8,7,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,12,7,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,131,8,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,104,8,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,9,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,5,9,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,10,11,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,12,11,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,57,12,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,327,12,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,44,13,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,38,13,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,14,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,12,15,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,10,15,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,18,16,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,14,16,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,911,17,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,898,17,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,41,18,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,36,18,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,2,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,2,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,22,3,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,57,3,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,5,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,5,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,12,6,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,5,6,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,7,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,12,7,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,68,8,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,92,8,2
