Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_REGIO,SEXE
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,1,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,3,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,3,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,5,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,5,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,6,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,6,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,7,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,7,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,34,8,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,40,8,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,9,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,9,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,11,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,11,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,110,12,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,128,12,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,13,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,13,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,14,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,14,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,15,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,15,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,16,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,16,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,356,17,1
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,407,17,2
2022-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,18,1
