Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_REGIO,SEXE
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,3,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,3,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,6,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,7,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,7,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,8,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,18,8,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,9,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,10,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,11,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,11,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,81,12,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,139,12,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,13,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,13,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,14,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,14,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,15,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,14,15,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,12,16,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,13,16,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,367,17,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,422,17,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,28,18,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,29,18,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,19,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,1,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,3,1
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,3,2
2018-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,4,1
