Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,TIPUS_DOMICILI
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,64,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,79,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,34,3
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,22,4
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,84,5
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,6
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,31,7
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,91,8
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,9
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,44,11
2024-01-01,1,Ciutat Vella,1,el Raval,1,1001,50,12
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,47,1
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,86,2
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,36,3
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,27,4
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,97,5
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,18,6
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,16,7
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,96,8
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,9
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,42,11
2024-01-01,1,Ciutat Vella,1,el Raval,1,1002,36,12
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,106,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,158,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,62,3
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,39,4
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,132,5
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,38,6
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,43,7
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,240,8
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,23,9
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,10
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,101,11
2024-01-01,1,Ciutat Vella,1,el Raval,2,1003,134,12
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,128,1
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,186,2
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,66,3
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,36,4
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,218,5
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,29,6
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,36,7
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,208,8
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,23,9
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,3,10
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,108,11
2024-01-01,1,Ciutat Vella,1,el Raval,2,1004,109,12
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,115,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,173,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,67,3
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,40,4
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,154,5
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,25,6
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,40,7
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,160,8
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,34,9
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,3,10
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,79,11
2024-01-01,1,Ciutat Vella,1,el Raval,3,1005,72,12
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,80,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,93,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,34,3
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,26,4
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,108,5
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,16,6
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,15,7
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,119,8
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,7,9
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,5,10
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,64,11
2024-01-01,1,Ciutat Vella,1,el Raval,3,1006,51,12
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,57,1
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,121,2
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,21,3
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,24,4
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,101,5
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,16,6
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,26,7
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,143,8
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,19,9
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,5,10
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,71,11
2024-01-01,1,Ciutat Vella,1,el Raval,3,1007,79,12
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,56,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,140,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,85,3
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,56,4
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,157,5
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,26,6
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,36,7
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,180,8
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,19,9
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,5,10
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,149,11
2024-01-01,1,Ciutat Vella,1,el Raval,4,1008,139,12
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,91,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,142,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,65,3
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,19,4
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,125,5
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,30,6
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,24,7
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,137,8
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,23,9
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,1,10
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,86,11
2024-01-01,1,Ciutat Vella,1,el Raval,4,1009,82,12
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,70,1
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,139,2
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,24,3
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,20,4
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,139,5
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,14,6
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,29,7
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,159,8
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,12,9
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,2,10
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,110,11
2024-01-01,1,Ciutat Vella,1,el Raval,4,1010,107,12
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,155,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,193,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,44,3
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,43,4
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,204,5
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,15,6
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,34,7
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,196,8
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,34,9
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,5,10
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,113,11
2024-01-01,1,Ciutat Vella,1,el Raval,5,1011,120,12
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,86,1
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,124,2
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,40,3
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,28,4
2024-01-01,1,Ciutat Vella,1,el Raval,5,1012,134,5
